"tmin","condition","text","tmax","duration","maxF0","meanF0","meanF0st","medianF0","minF0","sdF0","midpointF0","slopeF0","maxInt","meanInt","medianInt","minInt","sdInt","midpointInt","medianF1","medianF1Bark","medianF2","medianF2Bark","medianF3","medianF3Bark","SPLH.SPL","file","subject","part","size","v.pos","h.pos","st_maxF0","st_minF0","st_F0range","F1centroid","F2centroid","F1centroidBark","F2centroidBark","vt_expansion","vt_expansionBark","SPLH.SPL.dB","F0range","Fs","hand"
25.420533,"mi51","p",25.477488,0.056955,276.708839544,276.7095385556,97.3467427141,276.708839544,276.708839544,NA,NA,NA,69.3869996913,62.4526665645,54.8453914945,51.9907861652,6.6367037891,54.6167396822,939.9361778623,8.1510598427,1754.7972282214,12.0324800194,NA,NA,0.0547402542,"id14_part1.csv","14","1","m","5","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,342.92841176563,2.59434394824793,-12.6169319016665,0,120,"r"
25.563718,"mi51","f",25.76,0.196282,266.6877537382,266.5905007957,96.7016664435,266.4311227989,266.6877537382,NA,NA,NA,63.9521036165,59.6334441459,59.2934737925,51.2890880725,3.2963810792,59.0405232875,1010.6879530342,8.5725875229,2052.2784706583,13.0691813542,NA,NA,0.1122174169,"id14_part1.csv","14","1","m","5","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,481.984461912531,3.06060077971928,-9.49939732415556,0,120,"r"
27.958757,"si52","p",28.011257,0.0525,260.9684360727,259.8071748051,96.2551194891,258.5522955204,258.5522955204,NA,NA,270.8425064259,66.1323060299,63.7691989283,58.4425580185,54.7085858064,4.4289097913,58.5108603743,1092.1310688886,9.0351437787,1823.5873669039,12.2855817813,NA,NA,0.0762786876,"id14_part1.csv","14","1","s","5","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,492.696004492522,3.45321072391864,-11.1759678774168,2.41614055230002,120,"r"
28.103141,"si52","f",28.3,0.196859,NA,238.6674984504,94.7862996541,NA,NA,NA,NA,NA,65.0535030888,61.3227736695,61.1144246191,49.3148546989,4.4978924871,63.831064472,1045.0840335202,8.7717923228,2101.4739521569,13.2276348322,NA,NA,0.1698271796,"id14_part1.csv","14","1","s","5","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,537.574497836078,3.29120682973684,-7.69992802868969,NA,120,"r"
30.302962,"mi53","p",30.36044,0.057478,262.9431038026,262.8621155194,96.4578087534,262.4220976314,262.4220976314,NA,NA,199.9231518923,69.9854522374,62.1128976849,57.2423422951,51.4166114934,6.6670767118,57.0175771033,1427.2584735414,10.694317974,1937.5568918805,12.6851115541,NA,NA,0.0677681317,"id14_part1.csv","14","1","m","5","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,838.617004686806,5.11766858691539,-11.6897448726192,0.521006171199986,120,"r"
30.450944,"mi53","f",30.61,0.159056,NA,246.3950820251,95.3368858857,245.5130658099,NA,NA,NA,NA,66.0937717837,60.1541987819,59.2495889891,51.9271926131,3.6256506813,59.2718140765,1155.0939902741,9.3746975385,1912.3502527441,12.5997786969,NA,NA,0.1914824543,"id14_part1.csv","14","1","m","5","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,566.349642297129,3.79539063991471,-7.17871014644675,NA,120,"r"
32.859476,"sa45","p",32.900502,0.041026,269.2824793241,266.9228628068,96.7216519758,269.2824793241,264.1749394249,NA,269.2824793241,-548.4175407326,69.0516475074,63.2754643019,59.6674178866,56.1937414343,5.8359047202,57.547479922,953.5452537622,8.2339758769,1658.9353018069,11.6651321685,NA,NA,0.0435364438,"id14_part1.csv","14","1","s","4","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,380.648782388817,2.75217249168532,-13.6114704844863,5.10753989919999,120,"r"
33.026521,"sa45","f",33.134583,0.108062,NA,244.0429654101,95.1718962734,NA,NA,NA,NA,NA,61.3429978286,57.0379301693,56.332387169,47.7275083619,4.2179932363,56.2817425392,997.6845661416,8.4964226624,1892.3314830444,12.530054838,NA,NA,0.106268119,"id14_part1.csv","14","1","s","4","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,408.262313847863,2.91482922586465,-9.73597006587409,NA,120,"r"
35.32927,"ma13","p",35.368116,0.038846,271.6531894873,271.565928063,97.0218786404,271.4196546318,271.4196546318,NA,NA,108.8622739934,64.9510953657,61.9953567974,58.1564046561,57.3635434956,3.5995737013,57.9009695583,940.0213920287,8.1515062093,1510.2701740106,11.0570961188,NA,NA,0.0361819026,"id14_part1.csv","14","1","m","1","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,446.719060601832,2.9013802873183,-14.4150859980467,0.233534855500011,120,"r"
35.484231,"ma13","f",35.63,0.145769,NA,249.6476932466,95.5649971914,NA,NA,NA,NA,NA,62.0759346412,58.492519231,57.799853789,47.9647997953,4.8557551233,58.2566042089,871.3881322427,7.7206419265,1967.3209766117,12.7878450133,NA,NA,0.1634011107,"id14_part1.csv","14","1","m","1","3",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,318.822564346494,2.16991522093505,-7.86744995727461,NA,120,"r"
37.794648,"si21","p",37.826867,0.032219,273.6417832833,273.5608362075,97.1485897018,273.4409579117,273.4409579117,NA,NA,128.8223898401,73.205984487,67.7892555273,64.898735593,61.0403075378,5.3907200621,64.6223816989,1203.8441998918,9.6280961147,1946.9803416416,12.717150137,NA,NA,0.032117681,"id14_part1.csv","14","1","s","2","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,621.474889735739,4.05572513680604,-14.9325581972155,0.20082537159999,120,"r"
37.92654,"si21","f",38.09,0.16346,NA,246.3407207913,95.3341126141,246.3263108525,NA,NA,NA,NA,65.4133345505,62.408621955,62.203729218,51.2800863218,4.6578186026,63.2673955315,1128.8516833107,9.2342857902,2202.7704626194,13.543096474,NA,NA,0.3279754905,"id14_part1.csv","14","1","s","2","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,664.761723100245,3.82240210763736,-4.84158609758804,NA,120,"r"
40.210017,"si32","p",40.251637,0.04162,266.5886735235,266.5886735235,96.7016601136,NA,266.5886735235,NA,NA,NA,71.3374239636,66.5693280685,62.3759342429,60.8244051701,4.938024522,61.6700167766,1298.2064919716,10.0955676588,1961.0341184762,12.7665406343,NA,NA,0.0850499386,"id14_part1.csv","14","1","s","3","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,716.536316417175,4.52562010065914,-10.7032599558099,0,120,"r"
40.355499,"si32","f",40.519787,0.164288,NA,242.4326469724,95.0570881352,242.3199966548,NA,NA,NA,NA,61.8603075938,58.517212601,56.4269001795,49.8324720302,2.6296531084,56.6172717943,1107.1454445286,9.1174487922,2091.0555936492,13.1943132327,NA,NA,0.1280174688,"id14_part1.csv","14","1","s","3","2",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,584.730587963893,3.61963032337685,-8.92730764056806,NA,120,"r"
42.612909,"sa25","p",42.653158,0.040249,275.1789310255,275.1565870873,97.2492957988,275.1789310255,275.1789310255,NA,NA,NA,67.4952503574,63.6396699305,59.0981070374,56.4201871912,5.0280270141,59.0540444899,880.233400787,7.7774961469,1580.7783416374,11.3516322998,NA,NA,0.0361978434,"id14_part1.csv","14","1","s","2","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,355.793331039096,2.43476006999053,-14.4131730315135,0,120,"r"
42.787208,"sa25","f",43.03,0.242792,NA,247.1348601464,95.3898555693,247.0748278185,NA,NA,NA,NA,59.8528803048,56.29508762,55.3424041514,47.4730270931,3.6233365853,55.4711275676,1156.9379193149,9.3840925631,2169.477555821,13.440956512,NA,NA,0.1075907414,"id14_part1.csv","14","1","s","2","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,668.351337416385,3.93770430115738,-9.68225099783893,NA,120,"r"
45.267643,"si11","p",45.303176,0.035533,269.1976066314,266.504279199,96.6942914629,264.3974585975,264.3974585975,NA,264.3974585975,636.9173390026,66.365732472,66.3769206942,60.2566719147,60.1297860236,3.933125919,61.3481210264,853.478216885,7.5728565514,1862.4041456114,12.4246263671,NA,NA,0.0616211194,"id14_part1.csv","14","1","s","1","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,261.046899664961,1.98879618356734,-12.1027041661909,4.80014803389997,120,"r"
45.425687,"si11","f",45.61989,0.194203,NA,249.0403496374,95.5227655998,248.982113654,NA,NA,NA,NA,64.2016738996,60.4809737761,59.5812617981,48.4793299627,4.7045677682,60.8947884622,1243.2063824431,9.8270414123,2089.1882264723,13.1884379987,NA,NA,0.1997285638,"id14_part1.csv","14","1","s","1","1",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,705.226403891498,4.31398753212256,-6.99559820889768,NA,120,"r"
47.980471,"ma35","p",48.00773,0.027259,261.9421847069,261.9358274312,96.3968320985,261.9421847069,261.9421847069,NA,NA,NA,69.1596098073,67.0441754484,63.5162121253,61.9521864713,3.8651749722,64.34083109,839.6266527754,7.5138047625,1527.54616073,11.1303035182,NA,NA,0.0543022202,"id14_part1.csv","14","1","m","3","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,362.838844741443,2.31467156702909,-12.6518241348856,0,120,"r"
48.126236,"ma35","f",48.251712,0.125476,248.7129587489,248.5608231011,95.4894557755,248.6141803357,248.5213113652,0.2559030483,NA,10.4710653608,66.6526310327,61.0180183424,59.2524750128,47.5162943981,5.376096863,59.2703569728,1043.6088686652,8.7626274097,1936.0562747939,12.6814859206,NA,NA,0.1810484578,"id14_part1.csv","14","1","m","3","5",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,464.004459320395,3.19019513173985,-7.42205170221742,0.191647383700001,120,"r"
50.464162,"si34","p",50.488385,0.024223,274.6086756775,274.0174657631,97.1771036911,274.6086756775,273.0144956809,NA,274.6086756775,-411.2386830695,73.5647932372,68.7324470216,66.5156694369,57.320110154,7.8686453419,65.6067902961,1071.5261970949,8.9192808914,2058.4515821107,13.0893082745,NA,NA,0.0298597791,"id14_part1.csv","14","1","s","3","4",NA,NA,NA,600,1800,5.58412494683908,12.4085993651164,537.711981308119,3.40391389342536,-15.249134094712,1.59417999660002,120,"r"
