tmin	condition	text	tmax	duration	maxF0	meanF0	meanF0st	medianF0	minF0	sdF0	midpointF0	slopeF0	maxInt	meanInt	medianInt	minInt	sdInt	midpointInt	medianF1	medianF1Bark	medianF2	medianF2Bark	medianF3	medianF3Bark	SPLH.SPL	file	subject
56,139399	si51	I	56,245696	0,106297	240,8605128313	234,8820906836	94,5067963098	234,6021259611	229,8324725841	4,5097452498	232,2648461475	-178,5282752058	78,2933591813	76,3443032952	76,8298239732	70,2617949169	2,6907896558	77,6059154713	573,2851132997	5,5678728805	2031,0172778037	12,9999869772	NA	NA	0,0604227303	id3_part2.csv	3
56,245696	si51	f	56,424536	0,17884	NA	238,9876239658	94,8092407553	239,587126477	NA	NA	NA	NA	65,835086612	55,232235002	51,6138331485	47,7071742646	4,5152548537	51,4223336605	1007,918316683	8,5572904544	1856,5305605922	12,4037461599	NA	NA	0,0510908864	id3_part2.csv	3
59,102417	mi12	p	59,15845	0,056033	252,313058501	251,2154261795	95,6724196316	252,313058501	250,9170892456	NA	NA	-490,3815840785	69,8640339809	67,9770241292	62,2606768878	60,4155419109	3,9349639077	60,2654405715	962,3986604412	8,2871530876	1961,914783683	12,7695803474	NA	NA	0,0629883064	id3_part2.csv	3
59,15845	mi12	I	59,264576	0,106126	243,5103961481	235,9215571699	94,5826372931	234,0614901854	231,2520235707	5,0297944722	233,9691090299	-144,3846533528	79,9633530961	77,9187786606	78,4894961263	70,8470120018	2,9450520519	79,0085794317	617,0428629413	5,9151381916	1971,9481702507	12,8034908212	NA	NA	0,0780753027	id3_part2.csv	3
59,264576	mi12	f	59,409322	0,144746	229,9610846235	230,2690821001	94,1647654905	230,5713465448	227,6196088887	NA	NA	-393,5650208113	65,8788914869	56,5399095969	53,1471153252	49,6939349413	4,3975964658	53,0868035326	1146,9202935297	9,3313193564	1997,3720116338	12,8887099365	NA	NA	0,0451987602	id3_part2.csv	3
62,012038	mi53	p	62,089008	0,07697	241,6260596513	241,0181457828	94,9551233988	239,4329302434	239,4329302434	NA	NA	347,5090172509	68,5478234899	65,5663156014	63,2282425418	57,091794426	4,4683782879	58,6936774648	1047,9873958812	8,7873404987	1925,0111630396	12,6433589454	NA	NA	0,0855876375	id3_part2.csv	3
62,089008	mi53	I	62,209524	0,120516	239,5346550413	232,0270887964	94,2941152988	230,5312093975	227,3719252668	5,152833992	228,141403052	-189,2044061624	77,3119103508	75,4817790811	76,0392371049	69,8626677991	2,3606765389	76,5052653798	491,0099073899	4,8815399424	1956,9285513679	12,7526825691	NA	NA	0,054231697	id3_part2.csv	3
62,209524	mi53	f	62,382047	0,172523	226,789753464	226,6156893731	93,8852569815	227,4985005559	221,513471913	6,2743586256	NA	-399,001909529	65,4593627244	55,497360211	53,1203089691	46,4876906648	4,4056751707	53,6425504925	1296,5156235226	10,0883235891	2013,1633860846	12,941149145	NA	NA	0,0652135653	id3_part2.csv	3
64,634578	ma43	p	64,671521	0,036943	213,0412592545	212,9961007874	92,8161526417	213,0412592545	213,0412592545	NA	NA	NA	69,5634625652	69,1292041922	68,2667701964	67,8670920422	0,8720918147	68,0038573407	994,4961345651	8,4777528808	1714,4371718788	11,8800568758	NA	NA	0,1463052347	id3_part2.csv	3
64,671521	ma43	a	64,798991	0,12747	208,0163463058	188,1496598854	90,6295929518	185,7524379998	171,4280282526	13,572705398	186,1114030233	-358,7934225029	75,0283460023	71,9020150861	71,9923784997	61,2522280727	4,1250386807	71,7397086697	1062,1733657151	8,8680883244	1749,114946682	12,01129192	NA	NA	0,0939536748	id3_part2.csv	3
64,798991	ma43	f	64,960216	0,161225	186,3985800238	178,5451617399	89,7430661826	178,1059299205	180,9956420598	NA	NA	1105,6866804375	56,4209835673	51,9585021428	51,6199276843	48,0654904226	2,2018238938	52,6365811611	985,6859051938	8,4265592234	2101,5220928357	13,2277791239	NA	NA	0,0500256204	id3_part2.csv	3
67,66093	ma23	p	67,690411	0,029481	215,4273543221	215,3300569369	93,0048491443	215,4273543221	215,2160138094	NA	NA	-85,8096198173	69,0248519273	69,5540402302	68,8677765097	68,7107010921	0,6457847746	68,6395906446	958,6067000912	8,262830901	1778,453350261	12,1205417363	NA	NA	0,0829939808	id3_part2.csv	3
67,690411	ma23	a	67,799951	0,10954	213,5316089054	200,8412454088	91,7845883043	200,5225361063	189,8773661736	8,805472813	200,4964630673	-269,9269984911	76,4152373248	74,7360002986	75,3323062659	64,7665680658	3,6256199675	76,0433975437	749,1906260691	6,8968002708	1851,8749934929	12,3866317722	NA	NA	0,0994392943	id3_part2.csv	3
67,799951	ma23	f	67,943908	0,143957	NA	184,0409282543	90,2860397319	183,6404108026	NA	NA	NA	NA	59,1343457178	55,646130382	53,9658833504	49,4472299291	2,5268310675	53,8902761643	869,7686681848	7,7096830052	1824,0384966428	12,2872138585	NA	NA	0,0488772362	id3_part2.csv	3
70,969378	mi22	p	71,008812	0,039434	256,8605814784	255,4849382688	95,9637815595	256,8605814784	254,0467496684	NA	NA	-577,9550199156	68,836117121	68,4849608315	65,0761285453	63,6148754559	2,7434632528	63,9887158861	710,3898007728	6,6178852236	1882,0145280472	12,4938910708	NA	NA	0,0766795943	id3_part2.csv	3
71,008812	mi22	I	71,109312	0,1005	246,6839473473	239,2053403029	94,8218476942	237,0814717574	234,5516773023	5,1971818838	237,2564528628	-187,4904567593	78,2006693045	76,0836887145	76,0670324885	66,8295581218	3,5489806515	76,8609915007	548,3530553784	5,364316938	2020,1596659573	12,9642638468	NA	NA	0,0669541667	id3_part2.csv	3
71,109312	mi22	f	71,255769	0,146457	244,9579044926	243,1833085623	95,1090399242	244,9579044926	244,9579044926	NA	NA	NA	60,1831897511	54,942298416	51,5856664048	50,990400318	2,5770365827	51,6766365713	966,3834815461	8,3113265633	1832,0877094107	12,3162268194	NA	NA	0,0546243144	id3_part2.csv	3
74,026346	mi31	p	74,087231	0,060885	245,1227391876	245,1009869065	95,2467892728	245,0659205824	245,0659205824	NA	NA	9,2500781716	71,881244553	67,0978865104	64,4058342063	57,4666811386	4,8735279831	58,032760069	887,0859291636	7,8212297363	1882,7144047513	12,4963440611	NA	NA	0,0631257272	id3_part2.csv	3
74,087231	mi31	I	74,201457	0,114226	242,5783895658	236,4311214199	94,6214472616	234,6656126817	233,9182503662	3,7518630545	234,1856716807	-112,8454640445	78,8084040909	77,0429841204	77,4395032609	67,7689830345	3,5001764066	78,141299532	541,2856406411	5,3062410712	1939,9203964191	12,6947179033	NA	NA	0,0794283282	id3_part2.csv	3
